=== Statistiques empiriques — Dataset UCI ===

Conso moyenne globale  : 1091 W  (26.2 kWh/j)
Pic moyen (heure)      : 2002 W  à 20.8h
Creux moyen (nuit)     : 434 W  à 3.9h

=== Profil μ(t) — minute par minute ===
minute;heure;puissance_W
0;0.0000;747.68
1;0.0167;749.59
2;0.0333;748.94
3;0.0500;752.53
4;0.0667;754.60
5;0.0833;755.04
6;0.1000;735.67
7;0.1167;740.28
8;0.1333;742.31
9;0.1500;742.89
10;0.1667;735.73
11;0.1833;722.46
12;0.2000;713.19
13;0.2167;713.18
14;0.2333;707.37
15;0.2500;702.46
16;0.2667;703.47
17;0.2833;693.32
18;0.3000;690.57
19;0.3167;692.54
20;0.3333;688.51
21;0.3500;682.18
22;0.3667;672.28
23;0.3833;667.38
24;0.4000;664.05
25;0.4167;664.01
26;0.4333;659.17
27;0.4500;658.80
28;0.4667;652.03
29;0.4833;647.42
30;0.5000;647.72
31;0.5167;639.88
32;0.5333;638.39
33;0.5500;634.76
34;0.5667;636.22
35;0.5833;631.00
36;0.6000;634.68
37;0.6167;638.36
38;0.6333;630.29
39;0.6500;626.85
40;0.6667;629.50
41;0.6833;622.21
42;0.7000;613.93
43;0.7167;616.16
44;0.7333;613.04
45;0.7500;618.28
46;0.7667;611.59
47;0.7833;604.70
48;0.8000;601.27
49;0.8167;596.77
50;0.8333;595.50
51;0.8500;595.11
52;0.8667;594.65
53;0.8833;593.90
54;0.9000;595.81
55;0.9167;582.85
56;0.9333;581.91
57;0.9500;581.97
58;0.9667;578.33
59;0.9833;578.81
60;1.0000;582.20
61;1.0167;579.30
62;1.0333;584.71
63;1.0500;592.96
64;1.0667;586.54
65;1.0833;581.21
66;1.1000;580.96
67;1.1167;577.28
68;1.1333;576.85
69;1.1500;574.26
70;1.1667;570.94
71;1.1833;573.32
72;1.2000;568.50
73;1.2167;565.77
74;1.2333;570.91
75;1.2500;570.40
76;1.2667;570.29
77;1.2833;563.99
78;1.3000;561.18
79;1.3167;560.57
80;1.3333;556.78
81;1.3500;544.22
82;1.3667;545.16
83;1.3833;543.49
84;1.4000;540.12
85;1.4167;539.33
86;1.4333;537.40
87;1.4500;534.66
88;1.4667;540.02
89;1.4833;536.08
90;1.5000;535.16
91;1.5167;533.04
92;1.5333;527.30
93;1.5500;529.00
94;1.5667;529.89
95;1.5833;529.82
96;1.6000;528.96
97;1.6167;530.84
98;1.6333;527.11
99;1.6500;522.33
100;1.6667;522.76
101;1.6833;516.94
102;1.7000;512.43
103;1.7167;516.57
104;1.7333;518.17
105;1.7500;516.96
106;1.7667;517.71
107;1.7833;513.94
108;1.8000;505.36
109;1.8167;500.49
110;1.8333;497.73
111;1.8500;504.91
112;1.8667;506.32
113;1.8833;501.83
114;1.9000;501.76
115;1.9167;503.16
116;1.9333;502.67
117;1.9500;506.73
118;1.9667;496.17
119;1.9833;494.07
120;2.0000;496.41
121;2.0167;499.45
122;2.0333;498.88
123;2.0500;500.61
124;2.0667;498.26
125;2.0833;499.33
126;2.1000;493.35
127;2.1167;488.45
128;2.1333;494.64
129;2.1500;496.17
130;2.1667;492.19
131;2.1833;488.46
132;2.2000;480.98
133;2.2167;478.15
134;2.2333;481.39
135;2.2500;482.67
136;2.2667;484.36
137;2.2833;488.10
138;2.3000;495.16
139;2.3167;502.61
140;2.3333;497.51
141;2.3500;492.40
142;2.3667;491.81
143;2.3833;489.56
144;2.4000;484.64
145;2.4167;486.29
146;2.4333;488.46
147;2.4500;491.63
148;2.4667;487.36
149;2.4833;482.20
150;2.5000;478.18
151;2.5167;483.80
152;2.5333;488.16
153;2.5500;479.51
154;2.5667;472.72
155;2.5833;473.46
156;2.6000;466.07
